1709037462425	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
1709037462425	geckodriver::marionette	TRACE	Retrying in 100ms
1709037462525	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
1709037462525	geckodriver::marionette	TRACE	Retrying in 100ms
1709037462625	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
1709037462625	geckodriver::marionette	TRACE	Retrying in 100ms
1709037462726	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
1709037462726	geckodriver::marionette	TRACE	Retrying in 100ms
1709037462826	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
1709037462827	geckodriver::marionette	TRACE	Retrying in 100ms
1709037462927	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
1709037462927	geckodriver::marionette	TRACE	Retrying in 100ms
1709037463027	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
1709037463027	geckodriver::marionette	TRACE	Retrying in 100ms
1709037463127	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
1709037463127	geckodriver::marionette	TRACE	Retrying in 100ms
1709037463228	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
1709037463228	geckodriver::marionette	TRACE	Retrying in 100ms
1709037463328	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
1709037463328	geckodriver::marionette	TRACE	Retrying in 100ms
1709037463428	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
1709037463428	geckodriver::marionette	TRACE	Retrying in 100ms
1709037463528	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
1709037463528	geckodriver::marionette	TRACE	Retrying in 100ms
1709037463628	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
1709037463628	geckodriver::marionette	TRACE	Retrying in 100ms
ATTENTION: default value of option mesa_glthread overridden by environment.
1709037463648	Marionette	INFO	Marionette enabled
1709037463649	RemoteAgent	DEBUG	Setting recommended pref apz.content_response_timeout to 60000
1709037463649	RemoteAgent	DEBUG	Setting recommended pref browser.contentblocking.introCount to 99
1709037463650	RemoteAgent	DEBUG	Setting recommended pref browser.download.panel.shown to true
1709037463650	RemoteAgent	DEBUG	Setting recommended pref browser.newtabpage.activity-stream.showSponsoredTopSites to false
1709037463650	RemoteAgent	DEBUG	Setting recommended pref browser.newtabpage.enabled to false
1709037463650	RemoteAgent	DEBUG	Setting recommended pref browser.pagethumbnails.capturing_disabled to true
1709037463650	RemoteAgent	DEBUG	Setting recommended pref browser.region.network.url to 
1709037463650	RemoteAgent	DEBUG	Setting recommended pref browser.safebrowsing.blockedURIs.enabled to false
1709037463650	RemoteAgent	DEBUG	Setting recommended pref browser.safebrowsing.downloads.enabled to false
1709037463650	RemoteAgent	DEBUG	Setting recommended pref browser.safebrowsing.malware.enabled to false
1709037463650	RemoteAgent	DEBUG	Setting recommended pref browser.safebrowsing.phishing.enabled to false
1709037463650	RemoteAgent	DEBUG	Setting recommended pref browser.search.update to false
1709037463650	RemoteAgent	DEBUG	Setting recommended pref browser.startup.couldRestoreSession.count to -1
1709037463650	RemoteAgent	DEBUG	Setting recommended pref browser.tabs.closeWindowWithLastTab to false
1709037463650	RemoteAgent	DEBUG	Setting recommended pref browser.tabs.unloadOnLowMemory to false
1709037463650	RemoteAgent	DEBUG	Setting recommended pref browser.tabs.warnOnClose to false
1709037463650	RemoteAgent	DEBUG	Setting recommended pref browser.tabs.warnOnCloseOtherTabs to false
1709037463650	RemoteAgent	DEBUG	Setting recommended pref browser.tabs.warnOnOpen to false
1709037463650	RemoteAgent	DEBUG	Setting recommended pref browser.toolbars.bookmarks.visibility to never
1709037463650	RemoteAgent	DEBUG	Setting recommended pref browser.topsites.contile.enabled to false
1709037463650	RemoteAgent	DEBUG	Setting recommended pref browser.usedOnWindows10.introURL to 
1709037463650	RemoteAgent	DEBUG	Setting recommended pref browser.urlbar.merino.endpointURL to 
1709037463650	RemoteAgent	DEBUG	Setting recommended pref browser.urlbar.suggest.searches to false
1709037463650	RemoteAgent	DEBUG	Setting recommended pref datareporting.policy.dataSubmissionPolicyAccepted to false
1709037463650	RemoteAgent	DEBUG	Setting recommended pref dom.disable_open_during_load to false
1709037463650	RemoteAgent	DEBUG	Setting recommended pref dom.file.createInChild to true
1709037463650	RemoteAgent	DEBUG	Setting recommended pref dom.input_events.security.minNumTicks to 0
1709037463650	RemoteAgent	DEBUG	Setting recommended pref dom.input_events.security.minTimeElapsedInMS to 0
1709037463650	RemoteAgent	DEBUG	Setting recommended pref dom.max_chrome_script_run_time to 0
1709037463650	RemoteAgent	DEBUG	Setting recommended pref dom.max_script_run_time to 0
1709037463650	RemoteAgent	DEBUG	Setting recommended pref dom.navigation.locationChangeRateLimit.count to 0
1709037463650	RemoteAgent	DEBUG	Setting recommended pref dom.push.connection.enabled to false
1709037463650	RemoteAgent	DEBUG	Setting recommended pref dom.screenorientation.allow-lock to true
1709037463650	RemoteAgent	DEBUG	Setting recommended pref dom.successive_dialog_time_limit to 0
1709037463650	RemoteAgent	DEBUG	Setting recommended pref extensions.getAddons.cache.enabled to false
1709037463651	RemoteAgent	DEBUG	Setting recommended pref extensions.getAddons.discovery.api_url to data:, 
1709037463651	RemoteAgent	DEBUG	Setting recommended pref extensions.blocklist.detailsURL to http://%(server)s/extensions-dummy/blocklistDetailsURL
1709037463651	RemoteAgent	DEBUG	Setting recommended pref extensions.blocklist.itemURL to http://%(server)s/extensions-dummy/blocklistItemURL
1709037463651	RemoteAgent	DEBUG	Setting recommended pref extensions.hotfix.url to http://%(server)s/extensions-dummy/hotfixURL
1709037463651	RemoteAgent	DEBUG	Setting recommended pref extensions.systemAddon.update.url to http://%(server)s/dummy-system-addons.xml
1709037463651	RemoteAgent	DEBUG	Setting recommended pref extensions.update.background.url to http://%(server)s/extensions-dummy/updateBackgroundURL
1709037463651	RemoteAgent	DEBUG	Setting recommended pref extensions.update.url to http://%(server)s/extensions-dummy/updateURL
1709037463651	RemoteAgent	DEBUG	Setting recommended pref extensions.getAddons.get.url to http://%(server)s/extensions-dummy/repositoryGetURL
1709037463651	RemoteAgent	DEBUG	Setting recommended pref extensions.getAddons.search.browseURL to http://%(server)s/extensions-dummy/repositoryBrowseURL
1709037463651	RemoteAgent	DEBUG	Setting recommended pref geo.provider.network.url to 
1709037463651	RemoteAgent	DEBUG	Setting recommended pref identity.fxaccounts.auth.uri to https://{server}/dummy/fxa
1709037463651	RemoteAgent	DEBUG	Setting recommended pref network.connectivity-service.enabled to false
1709037463651	RemoteAgent	DEBUG	Setting recommended pref network.http.phishy-userpass-length to 255
1709037463651	RemoteAgent	DEBUG	Setting recommended pref network.http.prompt-temp-redirect to false
1709037463651	RemoteAgent	DEBUG	Setting recommended pref privacy.trackingprotection.enabled to false
1709037463651	RemoteAgent	DEBUG	Setting recommended pref security.fileuri.strict_origin_policy to false
1709037463651	RemoteAgent	DEBUG	Setting recommended pref security.notification_enable_delay to 0
1709037463651	RemoteAgent	DEBUG	Setting recommended pref security.remote_settings.intermediates.enabled to false
1709037463651	RemoteAgent	DEBUG	Setting recommended pref signon.autofillForms to false
1709037463651	RemoteAgent	DEBUG	Setting recommended pref signon.rememberSignons to false
1709037463651	RemoteAgent	DEBUG	Setting recommended pref toolkit.telemetry.server to https://%(server)s/telemetry-dummy/
1709037463651	RemoteAgent	DEBUG	Setting recommended pref widget.windows.window_occlusion_tracking.enabled to false
1709037463651	RemoteAgent	DEBUG	Setting recommended pref dom.disable_beforeunload to true
1709037463670	Marionette	TRACE	Received observer notification final-ui-startup
1709037463729	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
1709037463729	geckodriver::marionette	TRACE	Retrying in 100ms
ATTENTION: default value of option mesa_glthread overridden by environment.
1709037463816	Marionette	INFO	Listening on port 45155
1709037463817	Marionette	DEBUG	Marionette is listening
Read port: 45155
1709037463925	Marionette	DEBUG	Accepted connection 0 from 127.0.0.1:55504
1709037464855	geckodriver::marionette	TRACE	Retrying in 100ms
Read port: 45155
1709037465975	geckodriver::marionette	TRACE	Retrying in 100ms
Read port: 45155
1709037466830	Marionette	DEBUG	Closed connection 0
1709037466832	Marionette	DEBUG	Accepted connection 1 from 127.0.0.1:55508
1709037466832	Marionette	DEBUG	Accepted connection 2 from 127.0.0.1:55520
